burst_num,i,burst_pairs,offsets,delays,min_offset,min_delay,T1,T2,T3,T4
0,0,0,0.092136,0.084764,0.080663,0.05863,3888345324.862981,3888345324.997499,3888345324.9975843,3888345324.94783
0,1,1,0.081088,0.061893,0.080663,0.05863,3888345324.94786,3888345325.0598946,3888345325.059934,3888345325.0097923
0,2,2,0.081001,0.061409,0.080663,0.05863,3888345325.0098257,3888345325.1215305,3888345325.121619,3888345325.071323
0,3,3,0.080262,0.060859,0.080663,0.05863,3888345325.0713778,3888345325.1820693,3888345325.1821084,3888345325.132276
0,4,4,0.079997,0.059797,0.080663,0.05863,3888345325.132308,3888345325.2422037,3888345325.2422447,3888345325.192146
0,5,5,0.080663,0.05863,0.080663,0.05863,3888345325.192175,3888345325.3021526,3888345325.3022466,3888345325.250899
0,6,6,0.081219,0.063146,0.080663,0.05863,3888345325.250927,3888345325.363719,3888345325.3637705,3888345325.314124
0,7,7,0.079998,0.060236,0.080663,0.05863,3888345325.3141527,3888345325.4242682,3888345325.424294,3888345325.374414
1,0,10,0.087236,0.085687,0.075665,0.04909,3888345564.863154,3888345564.9932337,3888345564.993248,3888345564.948855
1,1,11,0.075665,0.04909,0.075665,0.04909,3888345564.948917,3888345565.0491266,3888345565.0491548,3888345564.998035
1,2,12,0.076337,0.051949,0.075665,0.04909,3888345564.998052,3888345565.1003633,3888345565.1004267,3888345565.050064
1,3,13,0.076273,0.051835,0.075665,0.04909,3888345565.050093,3888345565.152283,3888345565.1522923,3888345565.101937
1,4,14,0.075887,0.051011,0.075665,0.04909,3888345565.101969,3888345565.203361,3888345565.2033944,3888345565.153013
1,5,15,0.076263,0.051481,0.075665,0.04909,3888345565.15303,3888345565.2550335,3888345565.2550645,3888345565.204542
1,6,16,0.072836,0.056576,0.075665,0.04909,3888345565.20457,3888345565.305694,3888345565.3057203,3888345565.2611723
1,7,17,0.078682,0.056894,0.075665,0.04909,3888345565.26122,3888345565.3683496,3888345565.3684125,3888345565.318177
2,0,20,0.08885,0.08159,0.078921,0.06077,3888345804.863008,3888345804.992653,3888345804.992663,3888345804.9446077
2,1,21,0.078921,0.06077,0.078921,0.06077,3888345804.944637,3888345805.053943,3888345805.0539656,3888345805.0054293
2,2,22,-0.031813,0.063627,0.078921,0.06077,3888345805.005448,3888345805.005448,3888345805.005448,3888345805.0690746
2,3,23,-0.031337,0.062673,0.078921,0.06077,3888345814.08067,3888345814.08067,3888345814.08067,3888345814.143343
2,4,24,-0.031223,0.062445,0.078921,0.06077,3888345823.154556,3888345823.154556,3888345823.154556,3888345823.217001
2,5,25,-0.030887,0.061775,0.078921,0.06077,3888345832.227943,3888345832.227943,3888345832.227943,3888345832.2897177
2,6,26,-0.031502,0.063003,0.078921,0.06077,3888345841.301157,3888345841.301157,3888345841.301157,3888345841.36416
2,7,27,-0.040383,0.080767,0.078921,0.06077,3888345850.374501,3888345850.374501,3888345850.374501,3888345850.455268
3,0,30,0.083381,0.099726,0.074751,0.079059,3888346044.863154,3888346044.9963984,3888346044.9964175,3888346044.962899
3,1,31,0.074342,0.081563,0.074751,0.079059,3888346044.962939,3888346045.078062,3888346045.078121,3888346045.044561
3,2,32,0.074751,0.079059,0.074751,0.079059,3888346045.044588,3888346045.158869,3888346045.158879,3888346045.123657
3,3,33,0.073571,0.080853,0.074751,0.079059,3888346045.123703,3888346045.237701,3888346045.2377114,3888346045.204567
3,4,34,0.078399,0.079356,0.074751,0.079059,3888346045.204609,3888346045.3226857,3888346045.3227153,3888346045.283994
3,5,35,0.074049,0.079543,0.074751,0.079059,3888346045.284154,3888346045.3979745,3888346045.3981915,3888346045.363914
3,6,36,0.073223,0.080877,0.074751,0.079059,3888346045.363985,3888346045.477647,3888346045.47771,3888346045.444925
3,7,37,0.074377,0.079525,0.074751,0.079059,3888346045.445011,3888346045.5591507,3888346045.5591726,3888346045.524558
4,0,40,0.08951,0.082992,0.078691,0.05913,3888346284.863098,3888346284.994104,3888346284.994138,3888346284.946124
4,1,41,0.079377,0.059677,0.078691,0.05913,3888346284.946155,3888346285.0553703,3888346285.0555115,3888346285.005973
4,2,42,0.07848,0.06157,0.078691,0.05913,3888346285.005995,3888346285.11526,3888346285.11529,3888346285.067595
4,3,43,0.078807,0.061281,0.078691,0.05913,3888346285.067659,3888346285.1771064,3888346285.177129,3888346285.128962
4,4,44,0.079023,0.059744,0.078691,0.05913,3888346285.1290283,3888346285.237923,3888346285.2379465,3888346285.188796
4,5,45,0.079372,0.059885,0.078691,0.05913,3888346285.1888695,3888346285.2981834,3888346285.2983103,3888346285.248881
4,6,46,0.078691,0.05913,0.078691,0.05913,3888346285.248929,3888346285.357185,3888346285.357218,3888346285.308092
4,7,47,0.078672,0.060373,0.078691,0.05913,3888346285.308164,3888346285.417023,3888346285.41706,3888346285.368574
5,0,50,0.104455,0.056854,0.096148,0.037848,3888346524.862996,3888346524.9958777,3888346524.995893,3888346524.919865
5,1,51,0.096486,0.038113,0.096148,0.037848,3888346524.919902,3888346525.0354447,3888346525.035475,3888346524.958045
5,2,52,0.096148,0.037848,0.096148,0.037848,3888346524.958061,3888346525.0731335,3888346525.073155,3888346524.9959307
5,3,53,0.095326,0.038165,0.096148,0.037848,3888346524.995944,3888346525.110352,3888346525.1103864,3888346525.034143
5,4,54,0.095903,0.038739,0.096148,0.037848,3888346525.034173,3888346525.149446,3888346525.1494617,3888346525.072928
5,5,55,0.097472,0.040079,0.096148,0.037848,3888346525.0729523,3888346525.1904635,3888346525.1904783,3888346525.1130457
5,6,56,0.0961,0.038936,0.096148,0.037848,3888346525.113084,3888346525.2286515,3888346525.2286654,3888346525.152034
5,7,57,0.095739,0.038923,0.096148,0.037848,3888346525.152074,3888346525.267275,3888346525.2673035,3888346525.1910257
6,0,60,0.110623,0.07794,0.100699,0.056201,3888346764.86318,3888346765.0127726,3888346765.0128837,3888346764.941231
6,1,61,0.101816,0.059128,0.100699,0.056201,3888346764.94128,3888346765.07266,3888346765.0727243,3888346765.000472
6,2,62,0.104197,0.064016,0.100699,0.056201,3888346765.000482,3888346765.136687,3888346765.136715,3888346765.064526
6,3,63,0.100616,0.056979,0.100699,0.056201,3888346765.0645704,3888346765.1936755,3888346765.1937623,3888346765.1216364
6,4,64,0.100699,0.056201,0.100699,0.056201,3888346765.12169,3888346765.250489,3888346765.2505364,3888346765.177938
6,5,65,0.103198,0.061171,0.100699,0.056201,3888346765.177984,3888346765.311767,3888346765.311796,3888346765.239184
6,6,66,0.100715,0.057981,0.100699,0.056201,3888346765.239227,3888346765.3689322,3888346765.368991,3888346765.297267
6,7,67,0.100986,0.056837,0.100699,0.056201,3888346765.29732,3888346765.4267244,3888346765.4267697,3888346765.3542023
